Date,Time,Amazon Verified,Rating Score,Review Description,Review ID,Review Reaction,Review Title,User ID,Marketing Campaign,Order Value,Impressions,Clicks,Conversion Rate,Channel,Customer Segment,Product Category,SentimentLabel,SentimentScore
06-12-2025,05:54:01,TRUE,5,Excellent results with my indoor plants - saw improvement in just 10 days,R9SLS7485952S,69,Amazing results!,8f75fca4-bc20-4b10-a75f-2f7f3ee2ae27,Farmer Connect Program,4609.9,58560,1028,0.0176,Direct Traffic,Retailer - Tier 2,Herbicides,POSITIVE,0.978758812
22-05-2022,20:54:47,TRUE,5,"My bonsai are thriving with this product, blooming continuously",R8OUL0RTKR6IF,82,Highly recommended,be465165-36a6-49be-9735-de093068d9da,Pest Control Solutions Drive,4984.88,58132,4038,0.0695,Social Media,Large Farm - Returning,Herbicides,POSITIVE,0.989060163
17-05-2022,19:06:25,TRUE,4,Significant improvement in terrace garden health and fruit production,RBBYEIZNJE6DR,7,Good product,97686a54-8993-4c5d-a61d-d9acfd674dd7,Monsoon Harvest Boost 2024,1057.61,72987,1083,0.0148,Search Ads,Large Farm - Returning,Digital Tools,POSITIVE,0.981567919
26-09-2023,18:59:43,TRUE,3,Takes too long to show results on orchids,R3ZWG4THPI9UZ,96,Moderate effect,4548bfd3-aeff-401a-a5bf-16a0f0059a4f,YieldMax Pro Launch,2778.76,51277,1571,0.0306,Referral,Retailer - Tier 1,Digital Tools,NEUTRAL,0.639375627
16-03-2023,09:00:05,FALSE,2,My money plants actually got worse after using this,RQUKNVGHBRDXV,96,Disappointed,f7ef1ca6-5f16-438c-8ba9-2fa13206772d,Farmer Connect Program,1945.71,54841,367,0.0067,Search Ads,Retailer - Tier 2,Seeds,NEGATIVE,0.977750659
05-07-2024,19:31:16,TRUE,2,"Did nothing for my succulents, very disappointed",RB3U3W05VY2S9,96,No results,b49d0ce2-5c95-4051-ba7b-0efcd17fb19d,YieldMax Pro Launch,3266.69,44065,4381,0.0994,Direct Traffic,Large Farm - New,Digital Tools,NEGATIVE,0.972277045
06-11-2023,03:37:44,TRUE,1,Complete waste of money for my orchids - showing signs of stress,RZRP35A1B2CF8,96,Total waste,0f914e0c-15af-474d-af94-4743c9903f5b,Farmer Connect Program,3424.91,24600,706,0.0287,Email Marketing,Small Farm - New,Plant Nutrients,NEGATIVE,0.979723692
15-01-2022,14:21:41,TRUE,4,The bonsai in my garden are now recovered completely thanks to this product,RWGAJ2YZAYOGA,96,Happy with purchase,81f29c86-35f1-4c8d-92c3-bd9653706a1d,YieldMax Pro Launch,577.93,50986,4695,0.0921,Search Ads,Retailer - Tier 1,Herbicides,POSITIVE,0.982282579
24-12-2022,11:26:07,TRUE,5,Excellent results with my indoor plants - saw improvement in just 16 days,RLCMMOPNUMWNB,96,Life saver for plants,45a53df8-dd1d-47a9-934c-cbf1a4c06dd4,Monsoon Harvest Boost 2024,2918.89,96991,1086,0.0112,Social Media,Large Farm - New,Herbicides,POSITIVE,0.979214191
05-07-2025,02:39:52,TRUE,4,Works exactly as described on my money plants - growing faster,RXYAVSG2R8OOE,172,Great buy,524a418e-6d7d-4943-b076-cd476b036eea,Organic Growth Initiative,497,52717,124,0.0024,Search Ads,Retailer - Tier 1,Fungicides,POSITIVE,0.932374001
